mr,ref,group
bluemermaid_big;arm_small;onion_small,the blue mermaid a picture of an arm on the left and I've no idea what that is but a- mm an onion maybe,02
sunflower_big;microphone_small;microphone_right,okay this card um has a sunflower in the top and then a microphone on the left and a microphone on the right,02
shoe_big;kettle_small;wine_small,the shoe the tea kettle and then a glass of wine and a bottle all like,02
shoe_big;carrot_small;racket_small,okay this one I see is a shoe um carrots on the left and a tennis racket on the right,02
mime_big;yarn_small;oreo_small,um the mime again that keeps coming up with the? black hat gray yarn and the oreo cookie,02
loom_big;whale_small;iron_small,oo this one the main picture is of a weaving loom like a li- like ar- that you make carpets on you know and then the lower left is a whale and then the lower right is an iron,02
loom_big;whale_small;iron_small,uh the weaving loom the whale and then the iron,02
mm_big;one_small;nine_small,oh this one is of a yellow M and M a- a number one and then a number nine,02
shoe_big;sunflower_small;racket_small,uh the shoe a sunflower and a tennis racket,02
mm_big;one_small;nine_small,um I got the yellow M and M again with the one and the nine,02
kettle_big;safetypin_small;racket_small,tea kettle safety pin and tennis racket,02
racket_big,um this one just has a big tennis racket,02
limo_big;mirror_small;worm_small,um limousine and then in the left hand bottom corner is a picture of a a framed mirror or some sort of picture and then the other corner is like a little snake or something,02
microphone_big;carrot_small;shoe_small,um this one is of a microphone carrots and the shoe,02
microphone_big;carrot_small,this one just has two things it's a microphone and then carrots,02
limo_big;mirror_small;worm_small,this one is the limousine the mirror and the s- worm snake,02
airplane_big;yarn_small;oreo_small,uh the main picture is of a silhouette of an airplane and then there's a yarn and then the l- um the right hand is the oreo cookie,02
bluemermaid_big;arm_small;onion_small,this one is the mermaid the arm and the onion,02
racket_big,this one just has the tennis racket and nothing in the bottom corners,02
yellowrhino_big,I'm looking at a card with a big yellow rhinoceros on it,02
lamb_big;knee_small,um oh this card has a lamb and then a knee in the lower left,02
yellowrhino_big;ruler_small,this one has a -? yellow rhinoceros and a ruler in the lower right hand corner,02
yellowrhino_big;ear_small,this is a yellow rhinoceros and an ear in the lower right hand corner,02
yellowrhino_big;owl_small,this is a yellow rhinoceros and an owl in the left hand corner,02
yellowrhino_big;owl_small;ear_small,this is a yellow rhinoceros an owl in the left hand corner and an ear in the right hand corner,02
lamb_big;windmill_small;llama_small,this has a l- a lamb and then a llama in the lower left and then a windmill in the lower right,02
yellowrhino_big;owl_small;ruler_small,this has a yellow rhinoceros an owl on the left and a ruler in the right,02
yellowrhino_big;owl_small;ear_middle;ruler_small,this one is a yellow rhinoceros an owl an ear and a ruler,02
lamb_big;lawnmower_small;arrow_middle;nun_small,and this is a lamb a lawnmower an arrow and a nun,02
bluelion_big,uh the it just has a picture of the blue lion as the main and in the bottom corners there's nothing,02
airplane_big,this has a red airplane and that's it,02
airplane_big,uh the red airplane if they have nothing at the bottom does that count as a match so if there's like no image here and there's no image on theirs does that count as a match even though the main um just the the airplane,02
yellowlion_big,this has just a yellow lion,02
bluelion_big;lemon_small,the blue lion and then a lemon in the left hand bottom corner,02
yellowlion_big;bluemoon_small,okay I'm looking at a yellow lion with a blue moon in the lower left crescent moon,02
bluelion_big;iron_small,uh the blue lion and then in the right hand bottom corner is the iron,02
yellowlion_big;lemon_small,oh I got another yellow lion with a lemon in the left,02
yellowlion_big;lemon_small,the yellow lion with the lemon in the left,02
bluelion_big;alien_small,a blue lion with an alien in the right,02
alien_big;eye_small,uh the alien and then an eye ?- on the right,02
yellowlion_big;bluemoon_small;iron_small,I have a yellow lion with a blue crescent in the left and a an iron on the right,02
bluelion_big;lemon_small;yellowmoon_small,uh the blue lion the lemon and the yellow crescent on the right,02
bluelion_big;lemon_small;yellowmoon_small,oh? um? the blue lion lemon and yellow crescent,02
pineapple_big;sock_small,pineapple and then the black sock on the right,02
nail_big;lime_small;money_small,uh this is a nail a lime on the left and money on the right,02
bluelion_big;lemon_small;iron_small,the blue lion the lemon and the iron on the right,02
yellowlion_big;lemon_small;money_small,a ye- that's okay a yellow lion a? lemon and money,02
nail_big;lime_small;money_small,the nail the lime and then the money on the right,02
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,um a yellow lion a lime a lemon and a r-? yellow crescent,02
bluelion_big;bluemoon_small;lemon_middle;iron_small,uh the blue lion the blue crescent a lemon and an iron on the right,02
bluelion_big;lemon_small;yellowmoon_small,um here we have a blue lion a lemon and a yellow crescent,02
bluelion_big;lemon_small,the blue lion and then the lemon and then nothing on the right,02
yellowlion_big;bluemoon_small,a yellow lion with a blue crescent on the left,02
bluemermaid_big;arm_small,uh the blue a blue mermaid and an arm on the left,02
mime_big;onion_small,the mime with the black hat and then in the bottom right is an onion,02
bluemermaid_big;worm_small,the blue mermaid and then the snake thing on the right,02
onion_big;oreo_small,the onion and then an oreo cookie on the right,02
yarn_big;bluemermaid_small,the yarn and then the blue mermaid in the left,02
loom_big;lily_small,the loom and then an iris on the er iris on the right hand,02
mm_big;whale_small,the M and M and then the sperm whale on the left,02
arm_big;lily_small,the -? oh the arm and then the iris on the right,02
mirror_big;mm_small,the v-? mirror and then the M and M on the right,02
yellowrhino_big;owl_small,okay this card is a yellow rhinoceros with an owl on the left,02
ear_big;yellowrhino_small,a picture of an ear with the yellow rhinoceros on the l- bottom left,02
ruler_big;ear_small,this is a ruler with an ear on the bottom right,02
ruler_big;one_small,the ruler with the number one on the bottom left,02
zebra_big;toilet_small,this is a zebra and a toilet on the lower right,02
sunflower_big;belt_small;microphone_small,sunflower and then the bottom left is a microphone and then on the bottom right is a belt,02
lamb_big;knee_small,uh this is a lamb and then a knee to the left,02
windmill_big;knee_small,windmill and then a knee to the left,02
microphone_big;sunflower_small;belt_small,a microphone sunflower and a belt,02
bluemailman_big;lawnmower_small,mailman and then a lawnmower on the bottom left,02
lawnmower_big;nun_small,a lawnmower and then a nun on the bottom right,02
llama_big;limo_small,the llama and then the limousine on the left,02
nun_big;strawberry_small,uh a nun and then a strawberry on the right,02
zebra_big;toilet_small,the zebra and then a toilet on the right hand side,02
nail_big;owl_small,a nail and then an owl on the bottom left,02
limo_big;nine_small,a limousine and then the number nine on the right,02
lei_big;llama_small,uh like a Hawaiian lei a flower necklace in the center and then a llama on the lower left,02
lamb_big;nail_small,a lamb and then a nail on the right hand side,02
nun_big;lily_small,uh a nun with an iris on the lower right,02
mirror_big;chair_small,a mirror and then a cha-(ir) like a computer chair on the um right hand side,02
lamb_big;nail_small,uh a lamb with a nail on the bottom right,02
lily_big;knee_small,um the iris and then the knee on the left,02
llama_big;limo_small,a big llama and then a limo on the lower left,02
lei_big;mirror_small,the Hawaiian lei and then the mirror on the left,02
bluelion_big;lemon_small;eye_small,okay so um I've a bunch of cards and the card I'm looking at now has on the top a blue lion um I gue- assume it's a Columbia lion theme type thing uh not quite Columbia blue though it's a little shade darker than that uh the lower left is a a lemon a yellow lemon with maybe three green leaves on it and the lower right is uh someones eye it's just an an eye and uh it's uh blue blue colored,03
iron_big;lime_small;nail_small,okay so now uh the card I'm looking at has an iron in the top uh like a clothes ironing iron and it's uh the kind of light bluish,03
urn_big;bluemoon_small;yellowmoon_small,on the lower left there is a blue uh quarter moon on the lower right the same shape but it's a yellow quarter moon,03
iron_big;lime_small;nail_small,uh okay so the card I'm looking at now is I believe the same as two cards ago it's a blue ma- uh the main image is a blue iron with a in the lower left uh a green lime and on the lower right a nail,03
alien_big;yellowlion_small;money_small,uh so the card I'm looking at now has as the main image um a completely prototypical alien kind of gray eye alien big head big black eyes uh on the lower left is a a lion the same as before but it's yellow instead of blue,03
bluelion_big;lemon_small;eye_small,um so the card I'm looking at now is again the blue Columbia lion with the lemon in the lower left and the eye in the lower right,03
urn_big;bluemoon_small;yellowmoon_small,uh the card I have now is I believe it was the second one it's it's the vase with a blue crescent moon on the left and a yellow one on the right,03
alien_big;yellowlion_small;money_small,uh and now I have the alien card that that we saw before an alien with the yellow line and money and his hands I think are the same yeah his hands are the same,03
menorah_big;arrow_small;melon_small,um okay this card is a new one uh the main c- eh uh central image is a uh I keep forgetting what these are it's a menorah maybe it's the the the Jewish,03
menorah_big;arrow_small;melon_small,as right before mm okay,03
bluemermaid_big;arm_small;onion_small,okay um the first card I'm looking at has a- a mermaid as the main image and she's blue,03
shoe_big;carrot_small;racket_small,oh okay well so now the card I'm looking at is a it has a kind of red saddle shoe as the main picture like red with a white sort of saddle bit on the lower left is uh three carrots mm orange carrots with some green carrot top stuff ah the lower right is a tennis racket with a blue handle oh you just have the mermaid,03
shoe_big;carrot_small;racket_small,um okay so now I have a shoe as my main image and I have three carrots on the lower left and a ?- blue tennis racket in the lower right,03
mime_big;yarn_small;oreo_small,okay uh so I have now a card with the main image is a clown the- wearing a red and white striped shirt and well not a clown as much as a mime I guess on the lower left is a gray ball of yarn the lower right is a kind of twisted open oreo cookie but I guess you don't have anything you just have that mermaid thing,03
shoe_big;wine_small,that I just saw in the previous card and I've got a bottle of wine with a wine glass half full of of wine in my lower right corner and nothing in the lower left,03
bluemermaid_big;arm_small;onion_small,alright so now I have on the top a blue and black mermaid,03
sunflower_big;microphone_small;microphone_right,okay okay so I've got a sunflower as the main image and I- in both the lower left and lower right corners I've got two microphones facing the same way both blue,03
shoe_big;kettle_small;wine_small,alright so I have a uh the big red shoe that we saw earlier as the main one in the lower left is uh a w- cartoon teapot that's kind of blue or uh whatever you boil water in and on the lower right is uh w- purple wine bottle with a wine glass half full,03
shoe_big;carrot_small;racket_small,um the carrots in the lower left and the blue tennis racket in the lower right,03
mime_big;yarn_small;oreo_small,oh I have in fact now two mimes I have uh the same the same two cards it's a a mime in the the the upper thing a picture of a mime with a kind of red and white striped shirt um on the lower left a ball of um yarn and on the lower right this oreo cookie thing I've got two of those,03
loom_big;whale_small;iron_small,uh upper image and a whale in the lower left and a blue iron it's kind of an aqua blue,03
loom_big;whale_small;iron_small,okay so now I have a loom on the uh the top with a whale on the lower left and a blue iron on the lower right yeah mmhm,03
mm_big;one_small;nine_small,okay I've got a I think it's supposed to be a yellow M and M character it's not just the M and M candy it's,03
shoe_big;sunflower_small;racket_small,and we get the big shoe in the lower in the circles but we wouldn't get any you know points for that uh I don't I don't know what uh we still have a bunch of cards left so I don't know what to what to do on that,03
mm_big;one_small;nine_small,okay so I've got two images of the M and M character,03
kettle_big;safetypin_small;racket_small,okay I've got a new one now and uh one of my mimes went away but that's okay I'll remember where he's at uh I have the main image is a teapot wi- kind of blue teapot cartoony teapot little Charlie Brown stipple on the bottom ah the lower left is a safety pin and the lower right is a blue handled racket,03
racket_big,okay so I have a blue racket and that's it that's the only thing on the card,03
limo_big;mirror_small;worm_small,okay so now I have a a card with a picture of a the main thing is a limousine a stretch limousine the lower left is a yellow picture frame and on the lower right is a somewhat confused worm yeah,03
microphone_big;carrot_small;shoe_small,carrots in the lower left and a the red shoe in the lower right,03
microphone_big;carrot_small,ah okay so so now I have the main thing is a microwave and carrots in the lower left,03
limo_big;mirror_small;worm_small,a frame it looks like its supposed to be a gold frame and a worm I can't tell if the worm is happy or confused,03
airplane_big;yarn_small;oreo_small,okay so I'm looking at a card now with um the top image is in- a silhouette of a red airplane,03
bluemermaid_big;arm_small;onion_small,that's kind of a its own separate limb and uh an onion in the lower right,03
racket_big,alright so I have the main image is a uh a blue tennis racket and that's it there's nothing else,03
yellowrhino_big,alright it says describe this card to your partner and I'm looking at a yellow rhinoceros,03
lamb_big;knee_small,and I've got an image of a knee there's an arrow pointing to the knee and it's clad with a red,03
yellowrhino_big;ruler_small,and a ruler in the lower right,03
yellowrhino_big;ear_small,okay now I see a rhinoceros and an ear in the lower right a yellow rhinoceros,03
yellowrhino_big;owl_small,a yellow rhinoceros and in the lower left there's an o- there's an owl,03
yellowrhino_big;owl_small;ear_small,okay I've got a yellow rhinoceros I've got three images now a yellow rhinoceros an owl in the lower left and an ear in the lower right,03
lamb_big;windmill_small;llama_small,okay three images a lamb,03
yellowrhino_big;owl_small;ruler_small,um okay three images uh yellow rhinoceros an owl in the lower left and a ruler in the lower right,03
yellowrhino_big;owl_small;ear_middle;ruler_small,four images a rhinoceros yellow rhinoceros on top and then from left to right I've got an owl,03
lamb_big;lawnmower_small;arrow_middle;nun_small,uh three images a lamb,03
bluelion_big,alright so I have now a uh the main image is a blue colum- a blue lion that's it just blue lion no nothing else yeah mmhm,03
airplane_big,I have a red airplane,03
airplane_big,I have a red airplane with nothing else,03
yellowlion_big,okay I've got a yellow lion with nothing else on the card,03
bluelion_big;lemon_small,okay I've got a blue lion within the lower left uh the lemon that we've seen before with three leaves nothing else mmhm,03
yellowlion_big;bluemoon_small,yeah and I have another yellow lion with a blue crescent moon in the lower left hand corner,03
bluelion_big;iron_small,I've got a blue lion with um in the lower right hand corner the uh the iron that we've seen before with this sort of teal bluish color,03
yellowlion_big;lemon_small,uh well maybe we could ask what the ru- may- do you think it's okay to clarify of what the rules are now at this point,03
yellowlion_big;lemon_small,alright now I've got a yellow lion with a yellow lemon in the lower left hand corner,03
bluelion_big;alien_small,I'm just saying we won't get the two lions if we do one yellow one blue okay,03
alien_big;eye_small,with nothing on the left and in the right -? the uh the blue eye just ?- the eye,03
yellowlion_big;bluemoon_small;iron_small,in the left ha- lower left hand corner and an iron in the lower right hand corner,03
bluelion_big;lemon_small;yellowmoon_small,oh okay so I have now a blue lion with a yellow lemon in the left hand corner and in the right hand corner it's the yellow crescent moon but you don't have a blue lion with that do you,03
bluelion_big;lemon_small;yellowmoon_small,with a lemon in the lower left and a yellow crescent moon in the lower right isn't that what you just described,03
pineapple_big;sock_small,okay so now I have a pineapple with a black sock in the lower right and nothing in the lower left,03
nail_big;lime_small;money_small,I've got a nail with a lime in the lower left and money in the lower right,03
bluelion_big;lemon_small;iron_small,mm it didn't take away the uh so if we get another blue lion we should definitely take it because it'll take away all three then so the next thing we should match on is a blue lion,03
yellowlion_big;lemon_small;money_small,okay um I've got a yellow lion with a lemon in the lower left hand corner and money in the lower right hand corner,03
nail_big;lime_small;money_small,ah yeah that's true I only have two cards left uh I don't know three hundred points sounds like a lot or a hundred now so we're at w- let's see we're at three twenty the high score is seven hundred if we take this we'd be at four twenty,03
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,I've got a yellow lion with a lime in the lower left a lemon in the center middle and a yellow crescent moon in the lower right,03
bluelion_big;bluemoon_small;lemon_middle;iron_small,I don't think that it's likely that you'll have a blue lion yeah I mean I have other blue lions so if a blue lion pops up we can we can do that,03
bluelion_big;lemon_small;yellowmoon_small,with a lemon in the lower left and a crescent moon in the lower right oh no because yours had a lemon in the middle the last one that we jus- yeah,03
bluelion_big;lemon_small,okay the card I have now has a blue lion with a lemon on the lower left,03
yellowlion_big;bluemoon_small,but there were no blue lions for me really,03
bluemermaid_big;arm_small,okay so I'm looking at a card with a blue mermaid and a disembodied arm in the lower left no nothing,03
mime_big;onion_small,uh this card is uh a mime um with a- an onion in the lower right nothing in the lower left,03
bluemermaid_big;worm_small,mm excuse me this one is a blue mermaid uh and in the lower right is the uh perplexed or happy worm,03
onion_big;oreo_small,alright so now I have an onion and uh an oreo cookie in the lower right nothing in the lower left,03
yarn_big;bluemermaid_small,I've uh this time I have a ball of yarn and a blue mermaid in the lower left nothing in the lower right grayish yarn yeah,03
loom_big;lily_small,this time I have a loom and in the lower right is a flower uh ?- uh gladiola yeah a white,03
mm_big;whale_small,um this card has the main image of a kind of orange M and M and a whale in the lower left nothing in the lower right,03
arm_big;lily_small,this one is an arm with that same white flower in the lower right no uh nothing in the lower left,03
mirror_big;mm_small,and this one is a uh golden picture frame with the M and M in the lower right,03
yellowrhino_big;owl_small,okay I've got a yellow rhinoceros with an owl in the lower left hand corner and nothing in the lower right hand corner,03
ear_big;yellowrhino_small,uh I have an ear eh and in the lower left is a yellow rhinoceros with nothing in the lower right,03
ruler_big;ear_small,I've got a ruler and an ear in the lower right nothing in the lower left,03
ruler_big;one_small,yeah I don't know do you think that's worth taking to match on the rulers or or or not,03
zebra_big;toilet_small,and a toilet in the lower right hand corner nothing in the lower left hand corner and the zebra looks like it's standing in brown and orange and yellow and white grass,03
sunflower_big;belt_small;microphone_small,excuse me um microphone in the lower left um and a belt in the lower right,03
lamb_big;knee_small,okay I've got a lamb and an- an- the image of the arrow pointing to a knee in the lower left hand corner,03
windmill_big;knee_small,ah I have a windmill and a the knee with the arrow pointing at it in the lower left okay yeah I think we should match on the main things anyway,03
microphone_big;sunflower_small;belt_small,I've got a microphone with a sunflower in the lower left hand corner and a belt in the lower right hand corner,03
bluemailman_big;lawnmower_small,okay uh so the card I'm looking at now is a a cartoon of a post office mail delivery guy but he's blue and his bags are blue,03
lawnmower_big;nun_small,well I've got a lawnmower and a nun in the lower right hand corner,03
llama_big;limo_small,alright I have a the silhouette of a llama,03
nun_big;strawberry_small,um I've got a nun with a strawberry in the lower right hand corner okay,03
zebra_big;toilet_small,oh th- that makes sense I have a zebra with a toilet in the lower right hand corner now,03
nail_big;owl_small,okay so I see a nail,03
limo_big;nine_small,okay I have uh a limousine as the main image and a nine in the lower right,03
lei_big;llama_small,I've got a llama in the lower left and a- l- l- what looks like a lei,03
lamb_big;nail_small,okay oh we got m- match on the lamb,03
nun_big;lily_small,okay so I ha- I have a nun as the main image with a white flower in the lower right,03
mirror_big;chair_small,uh I have a picture frame golden picture frame with a uh a blue chair in the lower right,03
lamb_big;nail_small,and a nail in the lower right,03
lily_big;knee_small,oh I have a white flower as the main thing and a kn- a knee pointer a a knee getting pointed at in the lower left,03
llama_big;limo_small,okay I've got a llama and a limousine in the lower left,03
lei_big;mirror_small,oh okay now I have a lei and a picture frame in the lower left,03
bluelion_big;lemon_small;eye_small,uh there's a large blue lion on top uh what looks like a lemon uh with three leaves on the bottom left and an eye on the bottom right,04
iron_big;lime_small;nail_small,uh there's an iron a blue iron on the top large picture uh the bottom left uh looks like a lime and on the bottom right is a nail,04
urn_big;bluemoon_small;yellowmoon_small,uh it looks like an Egyptian urn on the top a black and uh sort of -? goldish color uh on the left side is a uh blue crescent moon on the right side is a yellow crescent moon again the uh -? okay,04
iron_big;lime_small;nail_small,uh a blue iron again on top a uh the lemon or lime on the bottom left and a nail on the bottom right,04
